epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2674.38,0.34495,0.57334,0.88542,0.74947,0.85926,0.82385,0.81079,0.20792,0.51632,0.79616,0.000325227,0.000325227,0.000325227
57,2740.88,0.34073,0.55815,0.88728,0.74056,0.90919,0.84964,0.84506,0.18401,0.49519,0.79058,0.000318158,0.000318158,0.000318158
58,2804.53,0.35449,0.60269,0.90271,0.70495,0.95926,0.85141,0.84986,0.20017,0.51717,0.79094,0.00031109,0.00031109,0.00031109
59,2858.15,0.32964,0.53791,0.89466,0.6873,0.98148,0.83939,0.83775,0.18338,0.4996,0.79111,0.000304021,0.000304021,0.000304021
60,2931.44,0.33171,0.53398,0.89259,0.70348,0.98148,0.8271,0.82432,0.18338,0.50888,0.79134,0.000296953,0.000296953,0.000296953
61,3010.42,0.34322,0.53827,0.89586,0.7008,0.96296,0.83053,0.83053,0.15883,0.50099,0.78619,0.000289884,0.000289884,0.000289884
62,3079.31,0.33642,0.54435,0.88704,0.71106,0.91481,0.81876,0.8172,0.16377,0.51808,0.78614,0.000282815,0.000282815,0.000282815
63,3146.97,0.32997,0.53016,0.8909,0.67561,0.98148,0.81984,0.81106,0.19086,0.54479,0.79372,0.000275747,0.000275747,0.000275747
64,3228.11,0.34822,0.54338,0.91609,0.69037,0.98148,0.81856,0.80901,0.19716,0.53413,0.79292,0.000268678,0.000268678,0.000268678
65,3311.92,0.31604,0.53279,0.88334,0.71145,0.98148,0.81019,0.80207,0.18177,0.49944,0.79087,0.00026161,0.00026161,0.00026161
66,3394.95,0.32608,0.51081,0.90212,0.71051,0.9667,0.8138,0.8068,0.18978,0.52254,0.79751,0.000254541,0.000254541,0.000254541
67,3471.56,0.35068,0.5239,0.89653,0.68255,0.98148,0.82447,0.81476,0.17949,0.54459,0.79265,0.000247472,0.000247472,0.000247472
68,3550.64,0.3261,0.50666,0.88944,0.70966,0.96436,0.79002,0.78579,0.17488,0.52987,0.78817,0.000240404,0.000240404,0.000240404
69,3638.45,0.31414,0.52208,0.88247,0.71398,0.95359,0.82666,0.81835,0.18441,0.55573,0.79268,0.000233335,0.000233335,0.000233335
70,3719.76,0.28087,0.51041,0.86386,0.71532,0.94589,0.84098,0.83145,0.1607,0.49366,0.78669,0.000226267,0.000226267,0.000226267
71,3807.45,0.31709,0.49097,0.88896,0.71708,0.95926,0.83026,0.82723,0.16784,0.47937,0.78768,0.000219198,0.000219198,0.000219198
72,3902.32,0.30915,0.49127,0.88248,0.75282,0.95187,0.85645,0.85046,0.17645,0.48098,0.79257,0.000212129,0.000212129,0.000212129
73,3982.34,0.27441,0.4643,0.86297,0.71485,0.98148,0.84448,0.83938,0.16869,0.49817,0.78596,0.000205061,0.000205061,0.000205061
74,4077.51,0.29365,0.46449,0.87807,0.71143,0.93704,0.8694,0.86433,0.172,0.47039,0.79058,0.000197992,0.000197992,0.000197992
75,4156.14,0.31389,0.48916,0.89592,0.79298,0.89893,0.9009,0.89532,0.16738,0.4596,0.79137,0.000190924,0.000190924,0.000190924
76,4241.03,0.28143,0.45453,0.87687,0.80303,0.87037,0.8818,0.8782,0.1685,0.48046,0.78735,0.000183855,0.000183855,0.000183855
77,4334.54,0.29596,0.44842,0.88481,0.70296,0.97884,0.82804,0.82483,0.17363,0.57687,0.79134,0.000176786,0.000176786,0.000176786
78,4415.4,0.27645,0.47148,0.86273,0.75703,0.91481,0.86903,0.8637,0.17082,0.49045,0.78602,0.000169718,0.000169718,0.000169718
79,4508.53,0.27333,0.44745,0.87006,0.79673,0.86188,0.88952,0.88693,0.15142,0.42124,0.78297,0.000162649,0.000162649,0.000162649
80,4597.45,0.29476,0.47202,0.88021,0.79705,0.90067,0.87305,0.86723,0.15689,0.46478,0.78555,0.000155581,0.000155581,0.000155581
81,4679.79,0.289,0.43376,0.87494,0.7271,0.91481,0.88524,0.8793,0.16204,0.48067,0.78659,0.000148512,0.000148512,0.000148512
82,4773.01,0.27778,0.42608,0.87644,0.77809,0.92224,0.87127,0.86686,0.16018,0.44424,0.78676,0.000141443,0.000141443,0.000141443
83,4843.22,0.28661,0.43757,0.88344,0.78727,0.94074,0.89217,0.89217,0.15148,0.43705,0.78412,0.000134375,0.000134375,0.000134375
84,4924.59,0.27554,0.42241,0.87779,0.80719,0.95698,0.89122,0.89122,0.14446,0.4397,0.78367,0.000127306,0.000127306,0.000127306
85,4998.3,0.27364,0.41184,0.8718,0.79365,0.9314,0.88406,0.88073,0.16255,0.48675,0.78372,0.000120238,0.000120238,0.000120238
86,5082.14,0.2807,0.42959,0.88183,0.7774,0.92016,0.87864,0.87355,0.15313,0.44683,0.7815,0.000113169,0.000113169,0.000113169
87,5170.44,0.28173,0.42141,0.87159,0.72942,0.95603,0.85067,0.84521,0.1504,0.46881,0.78061,0.0001061,0.0001061,0.0001061
88,5253.45,0.26839,0.38827,0.86142,0.85424,0.88487,0.90349,0.89853,0.15798,0.41652,0.78106,9.90318e-05,9.90318e-05,9.90318e-05
89,5336.66,0.26111,0.39976,0.87327,0.87613,0.88168,0.91092,0.9058,0.15292,0.39206,0.7799,9.19632e-05,9.19632e-05,9.19632e-05
90,5447.75,0.27121,0.42601,0.87693,0.77742,0.95388,0.88911,0.88267,0.15212,0.40777,0.78125,8.48946e-05,8.48946e-05,8.48946e-05
91,5569.11,0.16466,0.3051,0.79776,0.84899,0.8969,0.90454,0.90254,0.15769,0.42076,0.78407,7.7826e-05,7.7826e-05,7.7826e-05
92,5686.7,0.16227,0.28209,0.79356,0.84139,0.89107,0.87473,0.86737,0.16357,0.49902,0.78622,7.07574e-05,7.07574e-05,7.07574e-05
93,5799.89,0.16204,0.28935,0.77799,0.84252,0.89259,0.88527,0.88141,0.16539,0.42453,0.78444,6.36888e-05,6.36888e-05,6.36888e-05
94,5913.09,0.16544,0.28103,0.79309,0.83218,0.89259,0.87305,0.86881,0.15933,0.49101,0.78269,5.66202e-05,5.66202e-05,5.66202e-05
95,5978.26,0.15725,0.28693,0.78566,0.77925,0.90434,0.88831,0.88586,0.16811,0.56342,0.78342,4.95516e-05,4.95516e-05,4.95516e-05
96,6069.31,0.1553,0.26421,0.79558,0.7714,0.93039,0.89498,0.89056,0.16061,0.52982,0.7817,4.2483e-05,4.2483e-05,4.2483e-05
97,6163.45,0.15266,0.25488,0.78589,0.78085,0.94544,0.89825,0.89488,0.16302,0.4566,0.78318,3.54144e-05,3.54144e-05,3.54144e-05
98,6275.14,0.15012,0.25671,0.78894,0.86403,0.87124,0.92228,0.91549,0.16015,0.4547,0.78132,2.83458e-05,2.83458e-05,2.83458e-05
99,6353.61,0.14824,0.25869,0.79185,0.82068,0.92204,0.90416,0.89916,0.15531,0.43294,0.77997,2.12772e-05,2.12772e-05,2.12772e-05
100,6431.06,0.14996,0.25507,0.78711,0.84939,0.91415,0.91601,0.90855,0.15426,0.3848,0.78028,1.42086e-05,1.42086e-05,1.42086e-05
